Id,name,Gender,height,weight,URL
89132,Peyton Royce Quick Info,female,5 ft 7 in,60 kg,https://healthyceleb.com/peyton-royce-height-weight-age-body-statistics/89132
89284,Asuka Quick Info,female,5 ft 3 in,60 kg,https://healthyceleb.com/asuka-wrestler-height-weight-age-body-statistics/89284
89317,Bea Priestley Quick Info,female,5 ft 8 in,62 kg,https://healthyceleb.com/bea-priestley-height-weight-age-body-statistics/89317
89028,Katie Ledecky Quick Info,female,6 ft,70 kg,https://healthyceleb.com/katie-ledecky-height-weight-age-body-statistics/89028
89611,Julie Ertz Quick Info,female,5 ft 7 in,61 kg,https://healthyceleb.com/julie-ertz-height-weight-age-body-statistics/89611
89636,Zelina Vega Quick Info,female,5 ft 1 in,48 kg,https://healthyceleb.com/zelina-vega-height-weight-age-body-statistics/89636
128760,Lily Tomlin Quick Info,female,5 ft 5½ in,57 kg,https://healthyceleb.com/lily-tomlin-height-weight-age-body-statistics/128760
130556,Ezgi Mola Quick Info,female,6 ft 1.25 in,78 kg,https://healthyceleb.com/richard-kyle-height-weight-age-body-statistics/130556
130629,Kyle Chandler Quick Info,female,6 ft 1 in,80 kg,https://healthyceleb.com/kyle-chandler-height-weight-age-body-statistics/130629
128168,Aaron Sorkin Quick Info,female,6 ft 1.5 in,86 kg,https://healthyceleb.com/aaron-sorkin-height-weight-age-body-statistics/128168
101103,Bethany Hamilton Quick Info,female,5 ft 11 in,65 kg,https://healthyceleb.com/bethany-hamilton-height-weight-age-body-statistics/101103
101765,Alana Blanchard Quick Info,female,5 ft 8 in,56 kg,https://healthyceleb.com/alana-blanchard-height-weight-age-body-statistics/101765
130689,Yalitza Aparicio Quick Info,female,5 ft 5 in,59 kg,https://healthyceleb.com/yalitza-aparicio-height-weight-age-body-statistics/130689
101405,Tessa Virtue Quick Info,female,5 ft 4 in,50 kg,https://healthyceleb.com/tessa-virtue-height-weight-age-body-statistics/101405
102630,Harriet Dart Quick Info,female,5 ft 8 in,58 kg,https://healthyceleb.com/harriet-dart-height-weight-age-body-statistics/102630
101939,Viktoriya Tomova Quick Info,female,5 ft 7 in,58 kg,https://healthyceleb.com/viktoriya-tomova-height-weight-age-body-statistics/101939
103013,Heather Watson Quick Info,female,5 ft 6 in,55 kg,https://healthyceleb.com/heather-watson-height-weight-age-body-statistics/103013
102777,Gabriella Taylor Quick Info,female,5 ft 6 in,55 kg,https://healthyceleb.com/gabriella-taylor-height-weight-age-body-statistics/102777
102549,Freya Christie Quick Info,female,5 ft 11 in,60 kg,https://healthyceleb.com/freya-christie-height-weight-age-body-statistics/102549
102748,Eden Silva Quick Info,female,5 ft 8 in,59 kg,https://healthyceleb.com/eden-silva-height-weight-age-body-statistics/102748
102938,Katy Dunne Quick Info,female,5 ft 10 in,64 kg,https://healthyceleb.com/katy-dunne-height-weight-age-body-statistics/102938
102901,Tara Moore Quick Info,female,5 ft 4 in,58 kg,https://healthyceleb.com/tara-moore-height-weight-age-body-statistics/102901
102864,Katie Swan Quick Info,female,5 ft 7 in,55 kg,https://healthyceleb.com/katie-swan-height-weight-age-body-statistics/102864
106702,Laurie Hernandez Quick Info,female,5 ft 1 in,54 kg,https://healthyceleb.com/laurie-hernandez-height-weight-age-body-statistics/106702
108220,Anastasia Ashley Quick Info,female,5 ft 8 in,58 kg,https://healthyceleb.com/anastasia-ashley-height-weight-age-body-statistics/108220
112352,Allison Stokke Quick Info,female,5 ft 7 in,52 kg,https://healthyceleb.com/allison-stokke-height-weight-age-body-statistics/112352
103760,Lauren Wells Quick Info,female,5 ft 10½ in,66 kg,https://healthyceleb.com/lauren-wells-height-weight-age-body-statistics/103760
